map_name,scenario,threads,mapsize,pinning,n_samples,ops_per_sec_mean,ops_per_sec_std,ops_per_sec_se,ops_per_sec_ci95_low,ops_per_sec_ci95_high,latency_mean_ns,latency_std_ns,latency_ci95_low,latency_ci95_high,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,peak_rss_kb,bytes_per_entry
dashmap,random_keys,2,100000,compact,40,42902656.63,1981750.45,313342.26,42288505.80,43516807.46,80.54,41.65,67.63,93.45,48,66,77,140,43424,42.84
dashmap,random_keys,2,100000,spread,40,42626102.10,1919289.88,303466.38,42031308.01,43220896.20,70.92,19.48,64.88,76.96,48,66,76,139,42224,42.97
dashmap,random_keys,4,10000000,compact,40,25505446.43,324087.20,51242.69,25405010.77,25605882.10,240.65,16.79,235.44,245.85,132,277,1243,1697,281716,288.45
dashmap,random_keys,4,10000000,spread,40,25611364.60,346644.36,54809.29,25503938.40,25718790.80,244.29,30.14,234.94,253.63,129,261,1228,1722,281688,288.45
dashmap,random_keys,4,1000000,compact,40,71339115.56,757881.43,119831.58,71104245.68,71573985.45,114.47,6.59,112.43,116.52,91,133,156,461,37988,38.90
dashmap,random_keys,4,1000000,spread,40,70983691.77,554683.74,87703.20,70811793.50,71155590.05,113.73,4.73,112.26,115.19,91,134,156,421,37980,38.88
dashmap,random_keys,4,100000,compact,40,47893648.44,1682675.81,266054.41,47372181.80,48415115.07,121.97,29.86,112.71,131.22,87,137,153,228,44296,44.02
dashmap,random_keys,4,100000,spread,40,47458829.16,1607781.43,254212.56,46960572.53,47957085.78,134.43,33.14,124.16,144.70,89,138,156,232,43760,43.84
dashmap,random_keys,8,10000000,compact,40,37283843.75,517612.86,81841.78,37123433.86,37444253.64,312.77,25.65,304.82,320.72,142,460,1532,2564,281772,288.53
dashmap,random_keys,8,10000000,spread,40,36925869.56,398127.43,62949.47,36802488.59,37049250.53,318.29,40.98,305.59,330.99,141,442,1538,2592,281756,288.52
dashmap,random_keys,8,1000000,compact,40,101095756.12,1137497.11,179854.09,100743242.11,101448270.13,154.09,6.58,152.05,156.13,117,174,217,1669,38024,38.94
dashmap,random_keys,8,1000000,spread,40,100371261.10,842120.63,133150.96,100110285.21,100632236.98,153.82,10.16,150.67,156.97,117,174,218,1600,38012,38.92
dashmap,random_keys,8,100000,compact,40,63879413.56,1622435.83,256529.63,63376615.49,64382211.64,198.93,83.30,173.12,224.75,118,171,208,412,46096,45.14
dashmap,random_keys,8,100000,spread,40,61963709.10,1439079.42,227538.43,61517733.77,62409684.43,207.70,65.49,187.40,227.99,120,175,210,412,45276,45.52
dashmap,read_majority_95,16,10000000,compact,40,108275664.69,371482.44,58736.53,108160541.09,108390788.29,266.28,3.09,265.32,267.24,243,370,445,668,281888,28.87
dashmap,read_majority_95,16,10000000,spread,40,107583283.97,1454121.06,229916.73,107132647.18,108033920.75,265.72,4.34,264.37,267.06,243,368,440,672,281876,28.86
dashmap,read_majority_95,16,1000000,compact,40,170636447.33,618403.79,97778.23,170444802.01,170828092.65,145.87,3.48,144.79,146.94,131,215,254,364,38140,39.06
dashmap,read_majority_95,16,1000000,spread,40,170761012.84,528522.02,83566.67,170597222.17,170924803.51,145.55,3.12,144.58,146.51,130,216,254,368,38180,39.08
dashmap,read_majority_95,16,100000,compact,40,219211502.51,1017072.46,160813.28,218896308.49,219526696.53,120.76,2.24,120.07,121.46,107,186,226,343,5520,56.52
dashmap,read_majority_95,16,100000,spread,40,219763703.32,479339.65,75790.25,219615154.42,219912252.21,120.62,2.17,119.94,121.29,106,186,225,350,5520,56.52
dashmap,read_majority_95,1,10000000,compact,40,19976622.45,67467.92,10667.62,19955713.93,19997530.98,179.92,4.02,178.67,181.16,147,224,426,557,281772,28.84
dashmap,read_majority_95,1,10000000,spread,40,19829310.67,88426.17,13981.41,19801907.11,19856714.22,179.02,4.47,177.63,180.40,146,223,400,554,281768,28.84
dashmap,read_majority_95,1,1000000,compact,40,43793974.57,551147.35,87144.05,43623172.24,43964776.90,63.83,1.39,63.40,64.26,59,75,124,140,38204,38.83
dashmap,read_majority_95,1,1000000,spread,40,43738267.20,387609.05,61286.37,43618145.91,43858388.49,64.51,4.27,63.19,65.84,59,75,123,140,38304,38.83
dashmap,read_majority_95,1,100000,compact,40,79266011.04,857952.52,135654.20,79000128.80,79531893.28,38.37,0.82,38.12,38.62,35,47,50,67,5304,54.31
dashmap,read_majority_95,1,100000,spread,40,79524962.60,220569.22,34875.06,79456607.49,79593317.70,38.63,1.16,38.27,38.99,36,48,50,67,5280,54.07
dashmap,read_majority_95,2,10000000,compact,40,21542843.22,72115.42,11402.45,21520494.42,21565192.01,180.09,4.96,178.56,181.63,152,228,260,536,282012,28.84
dashmap,read_majority_95,2,10000000,spread,40,21497973.68,168185.02,26592.39,21445852.60,21550094.76,180.64,6.51,178.62,182.66,152,228,266,542,281812,28.84
dashmap,read_majority_95,2,1000000,compact,40,54001400.34,452761.75,71587.92,53861088.02,54141712.66,73.36,5.85,71.54,75.17,66,86,133,154,38128,38.83
dashmap,read_majority_95,2,1000000,spread,40,54051219.72,635682.74,100510.27,53854219.60,54248219.84,72.71,4.15,71.43,74.00,66,84,132,152,38152,38.86
dashmap,read_majority_95,2,100000,compact,40,93390741.68,111580.45,17642.42,93356162.54,93425320.82,45.32,0.53,45.15,45.48,44,55,59,74,5328,54.56
